neighborhood,service,closed,open
Linda Vista,ROW Maintenance,21,22
Linda Vista,Right-of-Way Code Enforcement,6,11
Linda Vista,Shared Mobility Device,2,1
Linda Vista,Sidewalk Repair Issue,23,16
Linda Vista,Stormwater,24,8
Linda Vista,Stormwater Code Enforcement,54,6
Linda Vista,Street Flooded,26,0
Linda Vista,Street Light Maintenance,31,55
Linda Vista,Street Sweeping,27,3
Linda Vista,Traffic Engineering,20,13
Linda Vista,Traffic Sign Maintenance,32,13
Linda Vista,Traffic Signal Issue,123,0
Linda Vista,Traffic Signal Timing,95,1
Linda Vista,Trash/Recycling Collection,15,1
Linda Vista,Tree Maintenance,44,10
Linda Vista,Waste on Private Property,12,1
Linda Vista,Weed Cleanup,6,1
Los Penasquitos Canyon,Dead Animal,3,0
Los Penasquitos Canyon,Graffiti,3,0
Los Penasquitos Canyon,Illegal Dumping,4,0
Los Penasquitos Canyon,Other,4,0
Los Penasquitos Canyon,Parks Issue,5,2
Los Penasquitos Canyon,Stormwater,0,1
Los Penasquitos Canyon,Stormwater Code Enforcement,3,0
Los Penasquitos Canyon,Street Flooded,2,0
Los Penasquitos Canyon,Street Light Maintenance,1,0
Los Penasquitos Canyon,Waste on Private Property,1,0
Los Penasquitos Canyon,Weed Cleanup,1,2
Mid-City:City Heights,Dead Animal,194,0
Mid-City:City Heights,Development Services - Code Enforcement,80,26
Mid-City:City Heights,Encampment,2674,479
Mid-City:City Heights,Environmental Services Code Compliance,417,30
Mid-City:City Heights,Graffiti,2935,0
Mid-City:City Heights,Graffiti - Code Enforcement,406,129
Mid-City:City Heights,Graffiti - Public,869,485
Mid-City:City Heights,Illegal Dumping,9021,222
Mid-City:City Heights,Missed Collection,1152,36
Mid-City:City Heights,Other,319,24
Mid-City:City Heights,Parking,2598,408
Mid-City:City Heights,Parks Issue,52,17
Mid-City:City Heights,Pavement Maintenance,41,90
Mid-City:City Heights,Pothole,830,33
Mid-City:City Heights,ROW Maintenance,59,60
Mid-City:City Heights,Right-of-Way Code Enforcement,9,67
Mid-City:City Heights,Shared Mobility Device,8,0
Mid-City:City Heights,Sidewalk Repair Issue,138,90
Mid-City:City Heights,Stormwater,38,29
Mid-City:City Heights,Stormwater Code Enforcement,115,8
Mid-City:City Heights,Street Flooded,46,3
Mid-City:City Heights,Street Light Maintenance,113,121
Mid-City:City Heights,Street Sweeping,87,21
Mid-City:City Heights,Traffic Engineering,56,23
Mid-City:City Heights,Traffic Sign Maintenance,112,123
Mid-City:City Heights,Traffic Signal Issue,145,1
Mid-City:City Heights,Traffic Signal Timing,62,1
Mid-City:City Heights,Trash/Recycling Collection,72,7
Mid-City:City Heights,Tree Maintenance,195,44
Mid-City:City Heights,Waste on Private Property,330,22
Mid-City:City Heights,Weed Cleanup,40,5
Mid-City:Eastern Area,Dead Animal,111,0
Mid-City:Eastern Area,Development Services - Code Enforcement,42,9
Mid-City:Eastern Area,Encampment,2581,299
Mid-City:Eastern Area,Environmental Services Code Compliance,129,6
Mid-City:Eastern Area,Graffiti,554,0
Mid-City:Eastern Area,Graffiti - Code Enforcement,86,19
Mid-City:Eastern Area,Graffiti - Public,101,70
Mid-City:Eastern Area,Illegal Dumping,1886,67
Mid-City:Eastern Area,Missed Collection,735,5
Mid-City:Eastern Area,Other,151,7
Mid-City:Eastern Area,Parking,1323,140
Mid-City:Eastern Area,Parks Issue,42,5
Mid-City:Eastern Area,Pavement Maintenance,11,34
Mid-City:Eastern Area,Pothole,356,8
Mid-City:Eastern Area,ROW Maintenance,33,46
Mid-City:Eastern Area,Right-of-Way Code Enforcement,8,48
Mid-City:Eastern Area,Shared Mobility Device,15,2
Mid-City:Eastern Area,Sidewalk Repair Issue,76,27
Mid-City:Eastern Area,Stormwater,25,8
Mid-City:Eastern Area,Stormwater Code Enforcement,40,6
Mid-City:Eastern Area,Street Flooded,15,2
Mid-City:Eastern Area,Street Light Maintenance,34,200
Mid-City:Eastern Area,Street Sweeping,59,6
Mid-City:Eastern Area,Traffic Engineering,38,12
Mid-City:Eastern Area,Traffic Sign Maintenance,50,54
Mid-City:Eastern Area,Traffic Signal Issue,75,3
Mid-City:Eastern Area,Traffic Signal Timing,33,1
Mid-City:Eastern Area,Trash/Recycling Collection,25,4
Mid-City:Eastern Area,Tree Maintenance,97,20
Mid-City:Eastern Area,Waste on Private Property,79,9
Mid-City:Eastern Area,Weed Cleanup,28,6
Mid-City:Kensington-Talmadge,Dead Animal,46,0
Mid-City:Kensington-Talmadge,Development Services - Code Enforcement,14,5
Mid-City:Kensington-Talmadge,Encampment,521,77
Mid-City:Kensington-Talmadge,Environmental Services Code Compliance,45,0
Mid-City:Kensington-Talmadge,Graffiti,224,0
Mid-City:Kensington-Talmadge,Graffiti - Code Enforcement,42,11
Mid-City:Kensington-Talmadge,Graffiti - Public,33,43
Mid-City:Kensington-Talmadge,Illegal Dumping,697,3
Mid-City:Kensington-Talmadge,Missed Collection,422,15
Mid-City:Kensington-Talmadge,Other,82,1
Mid-City:Kensington-Talmadge,Parking,688,25
Mid-City:Kensington-Talmadge,Parks Issue,7,4
